tmdbId,person_id,name,character,order
568,8184,Mary Kate Schellhardt,Barbara Lovell,6
568,8185,Emily Ann Lloyd,Susan Lovell,7
568,8186,Miko Hughes,Jeffrey Lovell,8
568,8187,Max Elliott Slade,Jay Lovell,9
63,62,Bruce Willis,James Cole,0
63,289,Madeleine Stowe,Dr. Kathryn Railly,1
63,287,Brad Pitt,Jeffrey Goines,2
63,290,Christopher Plummer,Dr. Goines,3
63,52,David Morse,Dr. Peters,4
63,288,Jon Seda,Jose,5
63,22227,Christopher Meloni,Lt. Halperin,6
63,1318900,Joey Perillo,Detective Franki,7
63,64908,LisaGay Hamilton,Teddy,8
63,11154,Matt Ross,Bee,9
808,12073,Mike Myers,Shrek / Blind Mouse (voice),0
808,776,Eddie Murphy,Donkey (voice),1
808,6941,Cameron Diaz,Princess Fiona (voice),2
808,12074,John Lithgow,Lord Farquaad (voice),3
808,1925,Vincent Cassel,Monsieur Hood (voice),4
808,12075,Peter Dennis,Ogre Hunter (voice),5
808,12076,Clive Pearse,Ogre Hunter (voice),6
808,12077,Jim Cummings,Captain of the Guards (voice),7
808,12078,Bobby Block,Baby Bear (voice),8
808,12098,Chris Miller,Geppetto / Magic Mirror (voice),9
77,529,Guy Pearce,Leonard,0
77,530,Carrie-Anne Moss,Natalie,1
77,532,Joe Pantoliano,Teddy,2
77,534,Mark Boone Junior,Burt,3
77,535,Russ Fega,Waiter,4
77,536,Jorja Fox,Leonard's Wife,5
77,537,Stephen Tobolowsky,Sammy,6
77,538,Harriet Sansom Harris,Mrs. Jankis,7
77,539,Thomas Lennon,Doctor,8
77,540,Callum Keith Rennie,Dodd,9
8587,4756,Matthew Broderick,Simba (voice),0
8587,20005,Moira Kelly,Nala (voice),1
8587,16940,Jeremy Irons,Scar (voice),2
8587,78729,Nathan Lane,Timon (voice),3
8587,69415,Ernie Sabella,Pumbaa (voice),4
8587,15152,James Earl Jones,Mufasa (voice),5
8587,8294,Robert Guillaume,Rafiki (voice),6
8587,10730,Rowan Atkinson,Zazu (voice),7
8587,2395,Whoopi Goldberg,Shenzi (voice),8
8587,11159,Cheech Marin,Banzai (voice),9
489,1892,Matt Damon,Will Hunting,0
489,2157,Robin Williams,Sean Maguire,1
489,880,Ben Affleck,Chuckie Sullivan,2
489,1640,Stellan Skarsgård,Gerald Lambeau,3
489,6613,Minnie Driver,Skylar,4
489,1893,Casey Affleck,Morgan O'Mally,5
489,6614,Cole Hauser,Billy McBride,6
489,6623,Vik Sahay,MIT Student,7
489,6615,John Mighton,Tom,8
489,6616,Rachel Majorowski,Krystyn,9
812,15827,Scott Weinger,Aladdin (voice),0
812,2157,Robin Williams,Genie / Peddler (voice),1
812,15829,Linda Larkin,Jasmine (voice),2
812,15830,Jonathan Freeman,Jafar (voice),3
812,15832,Gilbert Gottfried,Iago (voice),4
812,15833,Douglas Seale,Sultan (voice),5
812,15831,Frank Welker,Abu / Cave of Wonders / Rajah (voice),6
812,228428,Brad Caleb Kane,Aladdin (singing voice),7
812,15838,Lea Salonga,Jasmine (singing voice),8
812,15834,Bruce Adler,Peddler (singing voice),9
268,2232,Michael Keaton,Batman / Bruce Wayne,0
268,514,Jack Nicholson,Joker / Jack Napier,1
268,326,Kim Basinger,Vicki Vale,2
268,4040,Robert Wuhl,Alexander Knox,3
268,3798,Pat Hingle,Commissioner Gordon,4
268,3799,Billy Dee Williams,Harvey Dent,5
268,3796,Michael Gough,Alfred,6
268,3785,Jack Palance,Grissom,7
268,3800,Jerry Hall,Alicia,8
268,3801,Tracey Walter,Bob the Goon,9
22,85,Johnny Depp,Jack Sparrow,0
22,118,Geoffrey Rush,Barbossa,1
22,114,Orlando Bloom,Will Turner,2
22,116,Keira Knightley,Elizabeth Swann,3
22,1709,Jack Davenport,Norrington,4
22,378,Jonathan Pryce,Governor Weatherby Swann,5
22,1710,Lee Arenberg,Pintel,6
22,1711,Mackenzie Crook,Ragetti,7
22,1712,Damian O'Hare,Lt. Gillette,8
22,1713,Giles New,Murtogg,9
607,2176,Tommy Lee Jones,Kay,0
607,2888,Will Smith,Jay,1
607,9625,Linda Fiorentino,Laurel,2
607,7132,Vincent D'Onofrio,Edgar,3
607,9626,Rip Torn,Zed,4
607,4252,Tony Shalhoub,Jeebs,5
607,6751,Siobhan Fallon Hogan,Beatrice,6
607,9628,Mike Nussbaum,Gentle Rosenburg,7
607,9629,Jon Gries,Van Driver,8
607,9630,Sergio Calderón,Jose,9
1637,6384,Keanu Reeves,Jack Traven,0
1637,2778,Dennis Hopper,Howard Payne,1
1637,18277,Sandra Bullock,Annie,2
1637,3977,Joe Morton,Capt. McMahon,3
1637,8447,Jeff Daniels,Harry,4
1637,2394,Alan Ruck,Stephens,5
1637,2683,Glenn Plummer,Jaguar Owner,6
1637,3205,Richard Lineback,Norwood,7
1637,5151,Beth Grant,Helen,8
1637,12056,Hawthorne James,Sam,9
36955,1100,Arnold Schwarzenegger,Harry,0
36955,8944,Jamie Lee Curtis,Helen,1
36955,74036,Tom Arnold,Gib,2
36955,2053,Bill Paxton,Simon,3
36955,13445,Tia Carrere,Juno,4
36955,10672,Art Malik,Aziz,5
36955,13446,Eliza Dushku,Dana,6
36955,31511,Grant Heslov,Faisil,7
36955,10017,Charlton Heston,Spencer Trilby,8
36955,116907,Marshall Manesh,Khaled,9
218,1100,Arnold Schwarzenegger,Terminator,0
218,2712,Michael Biehn,Kyle Reese,1
218,2713,Linda Hamilton,Sarah Connor,2
218,1818,Paul Winfield,Traxler,3
218,2714,Lance Henriksen,Vukovich,4
218,2717,Rick Rossovich,Matt,5
218,2715,Bess Motta,Ginger,6
218,2716,Earl Boen,Silberman,7
218,102441,Dick Miller,Pawnshop Clerk,8
218,65001,Shawn Schepps,Nancy,9
2493,2130,Cary Elwes,Westley,0
2493,32,Robin Wright,The Princess Bride,1
2493,25503,Mandy Patinkin,Inigo Montoya,2
2493,14541,Chris Sarandon,Prince Humperdinck,3
2493,13524,Christopher Guest,Count Rugen,4
2493,12900,Wallace Shawn,Vizzini,5
2493,25504,André Roussimoff,Fezzik,6
2493,2223,Fred Savage,The Grandson,7
2493,2314,Peter Falk,The Grandfather,8
2493,18266,Peter Cook,The Impressive Clergyman,9
581,1269,Kevin Costner,Lieutenant Dunbar,0
581,1581,Mary McDonnell,Stands With A Fist,1
581,6804,Graham Greene,Kicking Bird,2
581,7853,Rodney A. Grant,Wind In His Hair,3
581,7862,Floyd 'Red Crow' Westerman,Ten Bears,4
581,7863,Tantoo Cardinal,Black Shawl,5
581,7866,Robert Pastorelli,Timmons,6
581,7867,Charles Rocket,Lieutenant Elgin,7
581,7868,Maury Chaykin,Major Fambrough,8
581,7869,Jimmy Herman,Stone Calf,9
137,1532,Bill Murray,Phil Connors,0
137,1533,Andie MacDowell,Rita Hanson,1
137,1534,Chris Elliott,Larry,2
137,537,Stephen Tobolowsky,Ned Ryerson,3
137,1535,Brian Doyle-Murray,Buster Green,4
137,1536,Marita Geraghty,Nancy Taylor,5
137,1537,Angela Paton,Mme Lancaster,6
137,1538,Rick Ducommun,Gus,7
137,1539,Rick Overton,Ralph,8
137,1540,Robin Duke,Doris the Waitress,9
762,10722,Graham Chapman,King Arthur / Voice of God / Middle Head / Hiccoughing Guard,0
762,8930,John Cleese,Second Swallow-Savvy Guard / The Black Knight / Peasant 3 / Sir Launcelot the Brave / Taunting French Guard / Tim the Enchanter,1
762,10713,Eric Idle,Dead Collector / Peasant 1 / Sir Robin the Not-Quite-So-Brave-as-Sir Launcelot / First Swamp Castle Guard / Concorde / Roger the Shrubber / Brother Maynard,2
762,280,Terry Gilliam,Patsy / Green Knight / Old Man from Scene 24 (Bridgekeeper) / Sir Bors / Animator / Gorilla Hand,3
762,10707,Terry Jones,Dennis's Mother / Sir Bedevere / Left Head / Prince Herbert / Voice of Cartoon Scribe,4
762,383,Michael Palin,First Swallow-Savvy Guard / Dennis / Peasant 2 / Right Head / Sir Galahad the Pure / Narrator / King of Swamp Castle / Brother Maynard's Brother / Leader of The Knights Who Say NI!,5
762,149979,Connie Booth,The Witch,6
762,10733,Carol Cleveland,Zoot / Dingo,7
762,70624,Neil Innes,First Monk / Singing Minstrel / Page Crushed by the Rabbit / Peasant #4,8
762,18760,Bee Duffell,Old Crone,9
89,3,Harrison Ford,Indiana Jones,0
89,738,Sean Connery,Professor Henry Jones,1
89,656,Denholm Elliott,Marcus Brody,2
89,739,Alison Doody,Elsa,3
89,655,John Rhys-Davies,Sallah,4
89,740,Julian Glover,Walter Donovan,5
