tmdbId,review_count,pct_positive,avg_sentiment_score
1885,4,1.0,0.998859092593193
1891,8,0.875,0.9967011958360672
1892,5,0.8,0.998600709438324
1893,9,0.4444444444444444,0.9988222122192383
1894,5,0.4,0.9932250261306763
1895,7,0.8571428571428571,0.9976153203419277
1900,3,0.3333333333333333,0.9958644310633341
1903,3,1.0,0.9987862904866537
1907,3,0.6666666666666666,0.9989729722340902
1909,4,0.75,0.993367150425911
1911,3,1.0,0.9978229204813639
1924,5,1.0,0.9988916635513305
1927,4,0.5,0.9986085146665573
1930,4,0.75,0.997639000415802
1933,2,1.0,0.9987482130527496
1934,2,1.0,0.9962480366230011
1946,2,0.5,0.9992116689682007
1948,1,1.0,0.9989269375801086
1949,4,0.75,0.9987853467464447
1954,3,1.0,0.9987957080205282
1955,2,1.0,0.998833417892456
1965,3,1.0,0.9987620711326599
1970,1,0.0,0.9994993209838867
1979,2,0.5,0.9991292953491211
1991,5,0.8,0.9983879923820496
1992,2,0.0,0.9983490109443665
1995,4,0.75,0.9988662749528885
1996,3,1.0,0.9987723231315613
2005,3,1.0,0.9988888502120972
2011,1,1.0,0.998900294303894
2018,1,0.0,0.9995085000991821
2022,2,1.0,0.9988408982753754
2024,1,1.0,0.9967376589775085
2028,2,1.0,0.9982780814170837
2034,6,1.0,0.9985228975613912
2039,1,1.0,0.9988917708396912
2043,4,0.5,0.9989158511161804
2048,5,1.0,0.9988864898681641
2054,2,1.0,0.9988856315612793
2056,2,1.0,0.9982104003429413
2059,5,1.0,0.9988799452781677
2064,5,1.0,0.9988324403762817
2067,3,0.6666666666666666,0.9987935821215311
2074,1,1.0,0.9988352656364441
2080,6,0.3333333333333333,0.9982437292734782
2103,1,1.0,0.9988775849342346
2105,3,0.6666666666666666,0.9990893205006918
2107,2,1.0,0.9987369179725647
2108,5,0.8,0.9989655613899231
2109,3,0.6666666666666666,0.9949241677920023
2112,3,1.0,0.9986055692036947
2114,1,0.0,0.9995085000991821
2118,2,1.0,0.9988760948181152
2119,3,0.3333333333333333,0.9969691236813863
2123,1,1.0,0.9987214207649231
2133,3,1.0,0.9981720248858134
2135,2,0.0,0.9987744688987732
2142,6,0.8333333333333334,0.998956561088562
2157,3,0.6666666666666666,0.998989204565684
2164,4,0.75,0.997475653886795
2252,2,0.5,0.9991685450077057
2255,2,0.0,0.9980184137821198
2268,1,0.0,0.9992154836654663
2270,1,1.0,0.9989140033721924
2275,1,1.0,0.9947391152381897
2277,1,1.0,0.9988861680030823
2280,2,1.0,0.9988504350185394
2288,3,0.6666666666666666,0.9984884858131409
2289,3,1.0,0.9985499382019043
2291,1,1.0,0.9983415603637695
2292,2,1.0,0.9987908899784088
2293,2,1.0,0.9983625411987305
2295,1,0.0,0.9987145662307739
2300,4,1.0,0.9985307902097702
2310,3,0.3333333333333333,0.9990535974502563
2320,1,1.0,0.9988688826560974
2322,1,1.0,0.9989281296730042
2323,6,1.0,0.960572083791097
2362,1,1.0,0.9988859295845032
