tmdbId,person_id,name,job
449563,222470,Todd Strauss-Schulson,Director
906126,51894,J. A. Bayona,Director
401104,149495,Marti Noxon,Director
974576,221522,Edward Berger,Director
443791,125324,William Eubank,Director
457799,69237,Joe Berlinger,Director
173897,4014,Paul W. S. Anderson,Director
381289,5306,Lasse Hallström,Director
531309,1362815,David Yarovesky,Director
397837,45419,Ry Russo-Young,Director
419478,932088,Scott Speer,Director
899082,2122937,Joe Pearlman,Director
899082,2192897,Casey Patterson,Director
899082,999760,Eran Creevy,Director
899082,1398126,Giorgio Testi,Director
980489,82194,Neill Blomkamp,Director
433808,141962,David Bruckner,Director
762441,2580328,Michael Sarnoski,Director
455980,1341472,Jeff Tomsic,Director
674324,54472,Martin McDonagh,Director
400650,17633,Rob Marshall,Director
644495,578,Ridley Scott,Director
449443,54868,Christian Gudegast,Director
353616,1278722,Trish Sie,Director
157433,1290272,Dennis Widmyer,Director
157433,1154561,Kevin Kölsch,Director
913290,84833,Zach Cregger,Director
501929,1647289,Mike Rianda,Director
597208,10828,Guillermo del Toro,Director
393519,1392433,Julia Ducournau,Director
462919,1384266,Ian Samuels,Director
915935,1175620,Justine Triet,Director
581734,1395183,Chloé Zhao,Director
511987,59291,Alexandre Aja,Director
573435,1399841,Adil El Arbi,Director
573435,1399842,Bilall Fallah,Director
939243,93364,Jeff Fowler,Director
555604,1245934,Mark Gustafson,Director
555604,10828,Guillermo del Toro,Director
516486,58292,Aaron Schneider,Director
180863,2034,Danny Boyle,Director
556984,13520,Aaron Sorkin,Director
1064213,118415,Sean Baker,Director
1084242,1318201,Jared Bush,Director
1084242,76595,Byron Howard,Director
940721,43652,Takashi Yamazaki,Director
726209,1331163,Sam Esmail,Director
412117,124748,Chris Renaud,Director
447277,17633,Rob Marshall,Director
822119,1301933,Julius Onah,Director
68730,1032,Martin Scorsese,Director
259694,63820,Christian Ditter,Director
378236,89112,Tony Leondis,Director
818647,1111138,Marçal Forés,Director
635744,27005,Don Michael Paul,Director
519182,124748,Chris Renaud,Director
1275779,488,Steven Spielberg,Director
543540,154547,Chris Nelson,Director
882569,956,Guy Ritchie,Director
934433,1039527,Tyler Gillett,Director
934433,66681,Matt Bettinelli-Olpin,Director
415842,84931,Michael Cuesta,Director
917496,510,Tim Burton,Director
1083381,3688382,Kane Parsons,Director
491418,74619,Sean Anders,Director
950387,53925,Jared Hess,Director
1241982,4524084,David G. Derrick Jr.,Director
1241982,1461394,Jason Hand,Director
1241982,1513971,Dana Ledoux Miller,Director
406563,1306608,Adam Robitel,Director
758323,1299642,Julius Avery,Director
525661,6737,Jay Roach,Director
503314,1057579,Tatsuya Nagamine,Director
753342,578,Ridley Scott,Director
565770,1500758,Ángel Manuel Soto,Director
429351,1719601,Nicolai Fuglsig,Director
567748,20907,Antoine Fuqua,Director
429200,227564,Benny Safdie,Director
429200,129561,Josh Safdie,Director
402431,54507,Jon M. Chu,Director
438799,1299642,Julius Avery,Director
359410,11694,Doug Liman,Director
551332,8557,Fernando Meirelles,Director
1072790,82511,Will Gluck,Director
375588,128276,Otto Bathurst,Director
458897,9281,Elizabeth Banks,Director
803796,3003169,Maggie Kang,Director
803796,1453550,Chris Appelhans,Director
303858,1038,Jodie Foster,Director
631842,11614,M. Night Shyamalan,Director
394117,118415,Sean Baker,Director
829280,173847,Harry Bradbeer,Director
845781,51851,Jake Kasdan,Director
364689,5714,Carlos Saldanha,Director
718821,931952,Lee Isaac Chung,Director
314095,20561,James Gray,Director
398173,42,Lars von Trier,Director
605116,142276,Ariel Schulman,Director
605116,142272,Henry Joost,Director
575265,9033,Christopher McQuarrie,Director
540901,71551,Lorene Scafaria,Director
95610,9158,Sharon Maguire,Director
398181,83287,Lynne Ramsay,Director
930564,1252934,Emerald Fennell,Director
574475,1181022,Zach Lipovsky,Director
574475,1938317,Adam Stein,Director
1087192,69797,Dean DeBlois,Director
353070,5367,Zach Braff,Director
585083,70652,Derek Drymon,Director
585083,2093022,Jennifer Kluska,Director
484641,59,Luc Besson,Director
542178,5655,Wes Anderson,Director
610150,2403335,Tetsuro Kodama,Director
382591,1119418,Hugo Gélin,Director
619730,59315,Olivia Wilde,Director
601666,111588,J Blakeson,Director
342470,932759,Brett Haley,Director
1368166,116805,Paul Feig,Director
420634,933176,Damien Leone,Director
889737,57130,Todd Phillips,Director
823219,1328012,Gints Zilbalodis,Director
697843,1120883,Sam Hargrave,Director
431693,1745178,Nick Bruno,Director
431693,587699,Troy Quane,Director
531219,24,Robert Zemeckis,Director
600583,10757,Jane Campion,Director
531428,68813,Céline Sciamma,Director
313922,74655,Jeremy Saulnier,Director
400160,49903,Tim Hill,Director
379149,10702,Martin Campbell,Director
1032823,11614,M. Night Shyamalan,Director
497828,56370,Ruben Östlund,Director
568091,37948,Brad Anderson,Director
800158,7467,David Fincher,Director
420814,12995,Marc Forster,Director
610253,64141,David Gordon Green,Director
546121,1932296,Aneesh Chaganty,Director
445651,142312,Jennifer Yuh Nelson,Director
677179,135651,Michael B. Jordan,Director
840326,145228,Jalmari Helander,Director
541671,3950,Len Wiseman,Director
452507,1323509,Zak Hilditch,Director
700391,1317685,Scott Beck,Director
700391,1317686,Bryan Woods,Director
459992,56661,Jonathan Levine,Director
740985,147113,Jason Woliner,Director
451915,239672,Felix van Groeningen,Director
1100988,2034,Danny Boyle,Director
945729,11181,Kenneth Branagh,Director
306947,54025,Karyn Kusama,Director
762975,1223175,Elizabeth Allen Rosenbaum,Director
602269,54040,John Lee Hancock,Director
502033,1076793,Darius Marder,Director
614917,1415665,Reinaldo Marcus Green,Director
535581,4429,Jim Jarmusch,Director
505948,1980616,Grant Sputore,Director
417384,135113,André Øvredal,Director
763215,17597,Juan Carlos Fresnadillo,Director
705861,550121,Jeremiah Zagar,Director
388399,36602,Peter Berg,Director
1005331,59521,Jaume Collet-Serra,Director
505600,59315,Olivia Wilde,Director
482373,1046225,Rodo Sayagues,Director
403119,100734,Johannes Roberts,Director
346648,101666,Paul King,Director
395990,16847,Eli Roth,Director
1138194,1317685,Scott Beck,Director
1138194,1317686,Bryan Woods,Director
804095,488,Steven Spielberg,Director
812583,67367,Rian Johnson,Director
1226578,90609,Osgood Perkins,Director
393457,5292,Denzel Washington,Director
339397,1243,Woody Allen,Director
937287,78160,Luca Guadagnino,Director
438650,95972,Hans Petter Moland,Director
384677,1296522,Claire Scanlon,Director
463272,1220300,David Kerr,Director
678512,72960,Alejandro Monteverde,Director
361292,78160,Luca Guadagnino,Director
399360,11447,Albert Hughes,Director
508883,608,Hayao Miyazaki,Director
522162,6046,Roland Emmerich,Director
539885,55789,Tate Taylor,Director
292011,190,Clint Eastwood,Director
567189,932533,Stefano Sollima,Director
419680,74619,Sean Anders,Director
460458,100734,Johannes Roberts,Director
744275,1448492,Castille Landon,Director
718032,4762,Paul Thomas Anderson,Director
762509,92784,Barry Jenkins,Director
591273,1290265,Leigh Janiak,Director
969681,1144604,Destin Daniel Cretton,Director
646389,58324,Jean-François Richet,Director
449562,91493,Chris Addison,Director
467244,66728,Jonathan Glazer,Director
476299,59611,Pascal Laugier,Director
458305,1284692,Lorcan Finnegan,Director
949423,101542,Ti West,Director
619778,2127,James Wan,Director
602223,1192942,Everardo Gout,Director
565426,63099,Michael Fimognari,Director
429300,67813,Baltasar Kormákur,Director
480414,1607672,Michael Chaves,Director
459151,18864,Tom McGrath,Director
568160,74091,Makoto Shinkai,Director
776503,154865,Sian Heder,Director
634492,223551,SJ Clarkson,Director
