tmdbId,person_id,name,character,order
335984,32,Robin Wright,Lieutenant Joshi,4
335984,104632,Sylvia Hoeks,Luv,5
335984,1110405,Mackenzie Davis,Mariette,6
335984,7499,Jared Leto,Niander Wallace,7
335984,1013973,Carla Juri,Dr. Ana Stelline,8
335984,765,Hiam Abbass,Freysa,9
438631,1190668,Timothée Chalamet,Paul Atreides,0
438631,933238,Rebecca Ferguson,Lady Jessica Atreides,1
438631,25072,Oscar Isaac,Duke Leto Atreides,2
438631,117642,Jason Momoa,Duncan Idaho,3
438631,1640,Stellan Skarsgård,Baron Vladimir Harkonnen,4
438631,196179,Stephen McKinley Henderson,Thufir Hawat,5
438631,16851,Josh Brolin,Gurney Halleck,6
438631,3810,Javier Bardem,Stilgar,7
438631,195666,Sharon Duncan-Brewster,Dr. Liet Kynes,8
438631,1622,Chang Chen,Dr. Wellington Yueh,9
324786,37625,Andrew Garfield,Desmond T. Doss,0
324786,65731,Sam Worthington,Captain Glover,1
324786,4937,Vince Vaughn,Sgt Howell,2
324786,20374,Teresa Palmer,Dorothy Schuttle,3
324786,972356,Luke Bracey,Smitty Ryker,4
324786,1331,Hugo Weaving,Tom Doss,5
324786,3052,Rachel Griffiths,Bertha Doss,6
324786,1213279,Ryan Corr,Lieutenant Manville,7
324786,12206,Richard Roxburgh,Colonel Stelzer,8
324786,61784,Goran D. Kleut,Andy 'Ghoul' Walker,9
466272,6193,Leonardo DiCaprio,Rick Dalton,0
466272,287,Brad Pitt,Cliff Booth,1
466272,234352,Margot Robbie,Sharon Tate,2
466272,46593,Emile Hirsch,Jay Sebring,3
466272,1392137,Margaret Qualley,'Pussycat',4
466272,18082,Timothy Olyphant,Jim Stacy,5
466272,1651362,Julia Butters,Trudi Fraser,6
466272,86654,Austin Butler,'Tex',7
466272,501,Dakota Fanning,'Squeaky',8
466272,6905,Bruce Dern,George Spahn,9
297802,117642,Jason Momoa,Arthur Curry / Aquaman,0
297802,55085,Amber Heard,Mera,1
297802,5293,Willem Dafoe,Nuidis Vulko,2
297802,17178,Patrick Wilson,King Orm Marius / Ocean Master,3
297802,2227,Nicole Kidman,Atlanna,4
297802,16644,Dolph Lundgren,King Nereus,5
297802,1639847,Yahya Abdul-Mateen II,David Kane / Black Manta,6
297802,7242,Temuera Morrison,Thomas Curry,7
297802,1525689,Ludi Lin,Captain Murk,8
297802,87118,Michael Beach,Jesse Kane (Manta's Father),9
353486,18918,Dwayne Johnson,Spencer,0
353486,55638,Kevin Hart,Fridge,1
353486,70851,Jack Black,Bethany,2
353486,543261,Karen Gillan,Martha,3
353486,82666,Rhys Darby,Nigel,4
353486,21127,Bobby Cannavale,Van Pelt,5
353486,130565,Nick Jonas,Alex,6
353486,934281,Alex Wolff,Young Spencer,7
353486,1160181,Ser'Darius Blain,Young Fridge,8
353486,1597855,Madison Iseman,Young Bethany,9
76600,65731,Sam Worthington,Jake Sully,0
76600,8691,Zoe Saldaña,Neytiri,1
76600,10205,Sigourney Weaver,Kiri,2
76600,32747,Stephen Lang,Colonel Miles Quaritch,3
76600,204,Kate Winslet,Ronal,4
76600,7248,Cliff Curtis,Tonowari,5
76600,59231,Joel David Moore,Norm Spellman,6
76600,30485,CCH Pounder,Mo'at,7
76600,36190,Edie Falco,General Frances Ardmore,8
76600,55936,Jemaine Clement,Dr. Ian Garvin,9
324552,6384,Keanu Reeves,John Wick,0
324552,4238,Common,Cassian,1
324552,2975,Laurence Fishburne,Bowery King,2
324552,59270,Riccardo Scamarcio,Santino D'Antonio,3
324552,1246972,Ruby Rose,Ares,4
324552,129101,Lance Reddick,Charon,5
324552,53,Peter Stormare,Abram Tarasov,6
324552,18354,Bridget Moynahan,Helen Wick,7
324552,22383,Franco Nero,Julius,8
